cycle no.,Relative error,Adjusting coefficient,Total adjusted PR,8 R. radius [mmHg*s/ml],14 Intercoastals [mmHg*s/ml],19 L. radius [mmHg*s/ml],22 Hepatic [mmHg*s/ml],23 Splenic [mmHg*s/ml],24 Gastric [mmHg*s/ml],26 Sup. mesenteric [mmHg*s/ml],28 R. renal [mmHg*s/ml],30 L. renal [mmHg*s/ml],32 Inf. mesenteric [mmHg*s/ml],36 R. int. iliac [mmHg*s/ml],37 R. deep femoral [mmHg*s/ml],41 R. post. tibial [mmHg*s/ml],42 R. ant. tibial [mmHg*s/ml],43 R. interosseous [mmHg*s/ml],44 R. ulnar II [mmHg*s/ml],45 L. ulnar II [mmHg*s/ml],46 L. interosseous [mmHg*s/ml],51 L. int. iliac [mmHg*s/ml],52 L. deep femoral [mmHg*s/ml],54 L. post. tibial [mmHg*s/ml],55 L. ant. tibial [mmHg*s/ml],74 L. sup. thy. asc. ph. lyng. fac. occ. [mmHg*s/ml],75 R. sup. thy. asc. ph. lyng. fac. occ. [mmHg*s/ml],78 L. maxillary [mmHg*s/ml],79 R. maxillary [mmHg*s/ml],80 L. superf. temp. fron. bran. [mmHg*s/ml],81 R. superf. temp. fron. bran. [mmHg*s/ml],82 L. superf. temp. pari. bran. [mmHg*s/ml],83 R. superf. temp. pari. bran. [mmHg*s/ml]
40,0.007016356721030234,1.0063147210489272,2.2974252419025287,74.7785262690035,18.492666900753704,74.7785262690035,46.60730379219002,31.35110148267598,72.49725965347015,12.274123754627297,15.305755359601525,15.305755359601525,88.3696795206874,72.77066816703403,44.527109910210584,43.97911899257404,97.67808724137609,1064.6945805551306,71.95766965377074,71.95766965377074,1064.6945805551306,72.77066816703403,44.527109910210584,43.97911899257404,97.67808724137609,393.90734236678105,393.90734236678105,328.25611861672644,328.25611861672644,328.25611861672644,328.25611861672644,328.25611861672644,328.25611861672644
42,0.005741154761017526,1.0051670392849157,2.309296128381596,75.16490985190356,18.58821923711276,75.16490985190356,46.84812556184826,31.513093855662348,72.87185584214838,12.337544634255375,15.384840798829897,15.384840798829897,88.8262891263662,73.14667706824267,44.757183236360405,44.20636082812465,98.18279375542771,1070.1958992792959,72.32947775972276,72.32947775972276,1070.1958992792959,73.14667706824267,44.757183236360405,44.20636082812465,98.18279375542771,395.94267707940696,395.94267707940696,329.95223087713305,329.95223087713305,329.95223087713305,329.95223087713305,329.95223087713305,329.95223087713305
44,0.003851790717190795,1.0034666116454718,2.3173015612330863,75.425477403727,18.652657374388717,75.425477403727,47.010529819489484,31.62233751380723,73.12447426623791,12.380314110161011,15.43817406710685,15.43817406710685,89.1342153746757,73.400248190795,44.91233900898608,44.359607113375354,98.52315537164522,1073.9058528466735,72.5802159696355,72.5802159696355,1073.9058528466735,73.400248190795,44.91233900898608,44.359607113375354,98.52315537164522,397.3152565747097,397.3152565747097,331.0960471231411,331.0960471231411,331.0960471231411,331.0960471231411,331.0960471231411,331.0960471231411
46,0.0019265529631542222,1.0017338976668388,2.3213195250034704,75.55625746301752,18.684999173490514,75.55625746301752,47.09204126746035,31.67716741104241,73.25126462155696,12.40178030791135,15.464942281102058,15.464942281102058,89.28876498274936,73.52751670987841,44.99021240880604,44.43652213265112,98.6939844408737,1075.7678956993288,72.7060626367639,72.7060626367639,1075.7678956993288,73.52751670987841,44.99021240880604,44.43652213265112,98.6939844408737,398.004160571084,398.004160571084,331.67013378674744,331.67013378674744,331.67013378674744,331.67013378674744,331.67013378674744,331.67013378674744
48,0.00034171880159277634,1.0003075469214335,2.322033439677049,75.57949455739531,18.69074568746331,75.57949455739531,47.10652427977618,31.686909626359412,73.27379282248242,12.405594437265343,15.469698476490757,15.469698476490757,89.3162254675384,73.55012987128319,45.004049010127005,44.450188448232225,98.72433747195251,1076.0987448038281,72.72842316249739,72.72842316249739,1076.0987448038281,73.55012987128319,45.004049010127005,44.450188448232225,98.72433747195251,398.1265655253854,398.1265655253854,331.772137915325,331.772137915325,331.772137915325,331.772137915325,331.772137915325,331.772137915325
50,0.000724586577257611,0.9993478720804682,2.320519176840949,75.53020705885032,18.678556930363644,75.53020705885032,47.07580480010123,31.66624570790838,73.22600893641288,12.397504402774413,15.4596102542075,15.4596102542075,89.25797986324382,73.50216577810893,44.97470061327552,44.42120123931668,98.65995657514976,1075.3969907681683,72.68099492720961,72.68099492720961,1075.3969907681683,73.50216577810893,44.97470061327552,44.42120123931668,98.65995657514976,397.866936076499,397.866936076499,331.55578004126767,331.55578004126767,331.55578004126767,331.55578004126767,331.55578004126767,331.55578004126767
52,0.0012552642023591432,0.9988702622178768,2.3178975986527304,75.44487773024436,18.657455058883873,75.44487773024436,47.0226214847947,31.630471153714158,73.14328274748333,12.38349847364656,15.44214494840642,15.44214494840642,89.15714175103632,73.41912760436152,44.92389099475302,44.37101692994933,98.54849669462418,1074.1820741569159,72.59888446119803,72.59888446119803,1074.1820741569159,73.41912760436152,44.92389099475302,44.37101692994933,98.54849669462418,397.41745076655576,397.41745076655576,331.1812089496737,331.1812089496737,331.1812089496737,331.1812089496737,331.1812089496737,331.1812089496737
54,0.0013407777060677971,0.998793300064539,2.315100591770031,75.35383840115641,18.63494110906845,75.35383840115641,46.96587929048379,31.59230266621437,73.05502075291253,12.368555306837628,15.4235109130938,15.4235109130938,89.04955583383946,73.33053274781973,44.869681338389,44.31747442668362,98.429578230023,1072.8858587173572,72.51127939200416,72.51127939200416,1072.8858587173572,73.33053274781973,44.869681338389,44.31747442668362,98.429578230023,396.93788715436466,396.93788715436466,330.7815726062082,330.7815726062082,330.7815726062082,330.7815726062082,330.7815726062082,330.7815726062082
56,0.0011242148940128515,0.9989882065953885,2.3127581882602657,75.27759588444995,18.61608639855897,75.27759588444995,46.918359523575894,31.560337782740202,72.98110416474097,12.356040884153597,15.407905506475977,15.407905506475977,88.9594560805632,73.25633739842884,44.8242824907438,44.27263429834966,98.32998783195116,1071.800319881606,72.43791295775539,72.43791295775539,1071.800319881606,73.25633739842884,44.8242824907438,44.27263429834966,98.32998783195116,396.5362680181014,396.5362680181014,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782
58,0.000755385893134104,0.9989882065953885,2.3127581882602657,75.27759588444995,18.61608639855897,75.27759588444995,46.918359523575894,31.560337782740202,72.98110416474097,12.356040884153597,15.407905506475977,15.407905506475977,88.9594560805632,73.25633739842884,44.8242824907438,44.27263429834966,98.32998783195116,1071.800319881606,72.43791295775539,72.43791295775539,1071.800319881606,73.25633739842884,44.8242824907438,44.27263429834966,98.32998783195116,396.5362680181014,396.5362680181014,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782
60,0.0,0.9989882065953885,2.3127581882602657,75.27759588444995,18.61608639855897,75.27759588444995,46.918359523575894,31.560337782740202,72.98110416474097,12.356040884153597,15.407905506475977,15.407905506475977,88.9594560805632,73.25633739842884,44.8242824907438,44.27263429834966,98.32998783195116,1071.800319881606,72.43791295775539,72.43791295775539,1071.800319881606,73.25633739842884,44.8242824907438,44.27263429834966,98.32998783195116,396.5362680181014,396.5362680181014,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782
62,0.0,0.9989882065953885,2.3127581882602657,75.27759588444995,18.61608639855897,75.27759588444995,46.918359523575894,31.560337782740202,72.98110416474097,12.356040884153597,15.407905506475977,15.407905506475977,88.9594560805632,73.25633739842884,44.8242824907438,44.27263429834966,98.32998783195116,1071.800319881606,72.43791295775539,72.43791295775539,1071.800319881606,73.25633739842884,44.8242824907438,44.27263429834966,98.32998783195116,396.5362680181014,396.5362680181014,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782
64,0.0,0.9989882065953885,2.3127581882602657,75.27759588444995,18.61608639855897,75.27759588444995,46.918359523575894,31.560337782740202,72.98110416474097,12.356040884153597,15.407905506475977,15.407905506475977,88.9594560805632,73.25633739842884,44.8242824907438,44.27263429834966,98.32998783195116,1071.800319881606,72.43791295775539,72.43791295775539,1071.800319881606,73.25633739842884,44.8242824907438,44.27263429834966,98.32998783195116,396.5362680181014,396.5362680181014,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782,330.4468899926782
