cycle no.,t_total [s],t_1d_lw [s],t_stn [s],t_0d [s],t_1d_bif [s],t_reg [s],t_out [s]
51,3321.9877018108964,812.8118282705545,829.931981433183,1104.629778187722,145.56727294623852,413.4148627817631,15.631978191435337
52,3386.3458170965314,828.7542234957218,846.1996763683856,1125.5397597663105,148.36575546115637,421.53709379956126,15.949308205395937
53,3450.719189159572,844.6864001229405,862.4634388647974,1146.4738877154887,151.16667043045163,429.66929986700416,16.25949215888977
54,3514.9234935864806,860.6277713701129,878.7332335598767,1167.3536788336933,153.9565358310938,437.6734208278358,16.57885316386819
55,3579.3003423139453,876.5845963694155,895.0210760943592,1188.3312685117126,156.75856629759073,445.7111489698291,16.893686071038246
56,3643.7582922652364,892.542823728174,911.289382237941,1209.2722500413656,159.56341134384274,453.87732151150703,17.213103402405977
57,3707.9880406595767,908.4857687652111,927.562599632889,1230.1584130115807,162.3541176468134,461.9030021764338,17.524139426648617
58,3772.1826774962246,924.4115233272314,943.8172879517078,1251.013359811157,165.1364275738597,469.88041676580906,17.923662066459656
59,3820.1254410222173,940.3031980954111,943.830460447818,1272.1983462758362,167.9134602881968,477.6471176594496,18.232858255505562
60,3868.4157836958766,956.2575851865113,943.8437391109765,1293.2002896368504,170.7251316830516,485.83154479041696,18.557493288069963
61,3916.0247394666076,972.1372627019882,943.8566534593701,1314.0581477060914,173.5004056803882,493.60889748483896,18.863372433930635
62,3963.6498206593096,988.0302964262664,943.8693846911192,1334.9206725731492,176.27589640766382,501.37620290741324,19.17736765369773
63,4011.231607671827,1003.9067868106067,943.8821948394179,1355.7784609757364,179.0514060407877,509.12497524544597,19.487783759832382
64,4058.8354987986386,1019.7890970595181,943.8956612162292,1376.5898773260415,181.82800717651844,516.8639087080956,19.868947312235832
